"","MaxGR","DTime","SOD","LagTime","Sample","Media","Replicate"
"1",0.00657864780528317,105.363169009184,2.005,69.9390135963912,"FY4","YPDA","one"
"2",0.00584900272816176,118.506899855352,1.991,86.7861964096895,"FY4","YPDA","one"
"3",0.004472997908824,154.96255412786,1.981,68.5303001337484,"ADE2-GFP","YPDA","one"
"4",0.00416187746327118,166.546753641118,1.975,78.1501292586453,"ADE2-GFP","YPDA","one"
"5",0.00518603635329912,133.656444602244,1.982,78.3199977001722,"YBR196C-AD","YPDA","one"
"6",0.0053083478630881,130.576819461999,2.015,87.605274575776,"YBR196C-AD","YPDA","one"
"7",0.00299929714442219,231.103204245366,1.925,53.0344906532971,"YBR196C-AD:kan","YPDA","one"
"8",0.00321216509164161,215.788155585025,1.944,45.7191377512281,"YBR196C-AD:kan","YPDA","one"
"9",0.000283689655596946,2443.32906359031,0.117,568.497837815932,"YPDA","YPDA","one"
"10",0.000283689655596947,2443.32906359031,0.117,629.244734465256,"YPDA","YPDA","one"
"11",0.00493131599115392,140.560284882038,1.853,92.4133685047392,"FY4","SC+GLU","one"
"12",0.00513035183203915,135.107143379763,1.881,95.1533048354252,"FY4","SC+GLU","one"
"13",0.00768493151628066,90.1956223151113,1.914,313.554949645173,"ADE2-GFP","SC+GLU","one"
"14",0.00441822186539943,156.883742300995,1.778,125.679134175544,"ADE2-GFP","SC+GLU","one"
"15",0.00492364779081337,140.779196646282,1.755,91.4678983680584,"YBR196C-AD","SC+GLU","one"
"16",0.00480281232201507,144.321104820754,1.752,94.9091666049313,"YBR196C-AD","SC+GLU","one"
"17",0.00594431785081389,116.606681869315,1.728,29.9999999999999,"YBR196C-AD:kan","SC+GLU","one"
"18",0.00347536701081363,199.445750161986,1.72,98.4385094622834,"YBR196C-AD:kan","SC+GLU","one"
"19",0.000372443353270826,1861.0808179893,0.091,659.012750598862,"SC+GLU","SC+GLU","one"
"20",3.76651841797749e-05,18402.861837913,0.089,149.999999999969,"SC+GLU","SC+GLU","one"
"21",0.00579069253404518,119.700221775674,1.97,76.1489085896021,"FY4","YPDA","two"
"22",0.00544945716359579,127.195637978477,1.979,73.7106856885844,"FY4","YPDA","two"
"23",0.00454937490903146,152.360971434538,1.981,92.8484813345511,"ADE2-GFP","YPDA","two"
"24",0.00476276516603053,145.534612015658,1.94,92.7755434320876,"ADE2-GFP","YPDA","two"
"25",0.00481798976032575,143.866470258559,1.98,78.9523133798724,"YBR196C-AD","YPDA","two"
"26",0.00526343431486029,131.691047915802,1.986,84.0755549378379,"YBR196C-AD","YPDA","two"
"27",0.00314315767935792,220.525742348866,1.924,61.6710757396703,"YBR196C-AD:kan","YPDA","two"
"28",0.00317227819638662,218.501385329154,1.94,62.7375293454751,"YBR196C-AD:kan","YPDA","two"
"29",0.000283689655596946,2443.32906359031,0.116,449.746832425408,"YPDA","YPDA","two"
"30",0.00027894165568388,2484.91814125273,0.117,539.257201692182,"YPDA","YPDA","two"
"31",0.00505059815504861,137.240611761415,1.868,77.9113619064733,"FY4","SC+GLU","two"
"32",0.00523233218655131,132.473848342723,1.842,81.9932516715663,"FY4","SC+GLU","two"
"33",0.00445921535440403,155.441512793361,1.732,107.569781633307,"ADE2-GFP","SC+GLU","two"
"34",0.00923212854105854,75.079888400305,1.665,346.851072577006,"ADE2-GFP","SC+GLU","two"
"35",0.00485025278904128,142.909495794951,1.758,84.1414180539028,"YBR196C-AD","SC+GLU","two"
"36",0.00472894559163427,146.575418796561,1.773,95.2333649744024,"YBR196C-AD","SC+GLU","two"
"37",0.00335539982920907,206.5766274785,1.734,110.515611715237,"YBR196C-AD:kan","SC+GLU","two"
"38",0.00333611528523275,207.770751696786,1.732,114.753802698068,"YBR196C-AD:kan","SC+GLU","two"
"39",-1.31454405704196e-06,-527290.946885181,0.092,-17575.0953832798,"SC+GLU","SC+GLU","two"
"40",0.000376651841797791,1840.2861837911,0.089,89.9999999999995,"SC+GLU","SC+GLU","two"
"41",0.00474690635128303,146.020824778352,1.999,62.8112828894162,"FY4","YPDA","three"
"42",0.00485400633145088,142.798985668558,1.987,87.3850823563665,"FY4","YPDA","three"
"43",0.00460662092768701,150.467596843914,1.981,80.5045308427613,"ADE2-GFP","YPDA","three"
"44",0.00456197275723991,151.94022793317,1.974,72.5104164384944,"ADE2-GFP","YPDA","three"
"45",0.0045970601028999,150.78053474278,1.973,63.0678860872571,"YBR196C-AD","YPDA","three"
"46",0.00536270751853617,129.253213635852,1.994,65.7768582148216,"YBR196C-AD","YPDA","three"
"47",0.00298942343128655,231.866510881544,1.913,75.2603783245758,"YBR196C-AD:kan","YPDA","three"
"48",0.00303634135214836,228.283680973323,1.876,100.120165866046,"YBR196C-AD:kan","YPDA","three"
"49",0.000274349971217173,2526.50721078901,0.119,449.269263997511,"YPDA","YPDA","three"
"50",0.000550976731707013,1258.03348974913,0.119,449.999999999999,"YPDA","YPDA","three"
"51",0.00518437744754617,133.699212214577,1.887,102.535713590686,"FY4","SC+GLU","three"
"52",0.00532753546532856,130.106535202051,1.865,97.8125407613036,"FY4","SC+GLU","three"
"53",0.00459743810685004,150.768137482303,1.801,93.3327026511038,"ADE2-GFP","SC+GLU","three"
"54",0.00439956635910495,157.548977327156,1.784,102.027759719142,"ADE2-GFP","SC+GLU","three"
"55",0.00496069623546368,139.727801836501,1.764,86.479686310679,"YBR196C-AD","SC+GLU","three"
"56",0.00473431064316377,146.409315485209,1.751,116.86085530196,"YBR196C-AD","SC+GLU","three"
