"","MaxGR","DTime","SOD","LagTime","Sample","Media","Replicate"
"1",0.00600801301967097,115.370452475801,1.979,197.159633393356,"FY4","YPDA","one"
"2",0.00532981736688367,130.050831547578,1.997,230.201833969739,"ADE2-GFP","YPDA","one"
"3",0.00560197032911297,123.732747558072,1.964,179.308002302599,"YBR196C-AD","YPDA","one"
"4",0.0046715543914414,148.376134040061,1.753,232.147780971524,"YBR196C-AD:kan","YPDA","one"
"5",0.000325205831512127,2131.41067408595,0.103,930,"YPDA","YPDA","one"
"6",0.00576355192864509,120.263890937631,1.863,219.822084514071,"FY4","SC+GLU","one"
"7",0.00484205774700038,143.151365964056,1.778,168.521865638955,"ADE2-GFP","SC+GLU","one"
"8",0.00523700458158192,132.355656704537,1.681,162.599968905497,"YBR196C-AD","SC+GLU","one"
"9",0.00389478758048157,177.967903572867,1.311,218.348833509305,"YBR196C-AD:kan","SC+GLU","one"
"10",4.04045351078161e-05,17155.182672201,0.084,-90.0000000000138,"SC+GLU","SC+GLU","one"
"11",0.00602729756364732,115.001320781066,2.014,187.52158059128,"FY4","YPDA","two"
"12",0.00526204197412646,131.725893477886,2.017,205.644249741498,"ADE2-GFP","YPDA","two"
"13",0.00570494187319428,121.499429085654,1.952,182.812280321211,"YBR196C-AD","YPDA","two"
"14",0.00452891796823845,153.049179830817,1.772,215.227368635339,"YBR196C-AD:kan","YPDA","two"
"15",0.000322063697057893,2152.20525284894,0.104,1110,"YPDA","YPDA","two"
"16",0.00596827438163282,116.138625042623,1.883,220.092446191688,"FY4","SC+GLU","two"
"17",0.0047859828103445,144.828598017896,1.814,162.710060739913,"ADE2-GFP","SC+GLU","two"
"18",0.00526820942426962,131.571683040304,1.661,169.596696837021,"YBR196C-AD","SC+GLU","two"
"19",0.00399069175085538,173.690984880346,1.399,194.825825336552,"YBR196C-AD:kan","SC+GLU","two"
"20",0.000404045351078168,1715.51826722008,0.083,420,"SC+GLU","SC+GLU","two"
"21",0.00602493307821744,115.046453057869,1.999,182.695376117036,"FY4","YPDA","three"
"22",0.00528776607555856,131.085068941278,2.032,201.220797559626,"ADE2-GFP","YPDA","three"
