"","Date","MaxGR","DTime","EOD","SOD","LagTime","Sample","Media","Replicate"
"1",20200122,8.00160738468581e-19,866259924082943488,NA,0.103,2220,"blank","YPDA","1"
"2",20200122,0.00404738298567841,171.25811493813,1,1.894,31.4073618599142,"","YPDA","1"
"3",20200122,0.0044288551125125,156.50707980978,0.8,1.896,45.6863938340408,"","YPDA","1"
"4",20200122,0.00497485101776065,139.33023885245,0.6,1.889,40.8039978062268,"","YPDA","1"
"5",20200122,0.0052893088353347,131.04683468839,0.4,1.887,52.7225308940046,"","YPDA","1"
"6",20200122,0.00557129925993156,124.413920024906,0.2,1.887,77.5511967932773,"","YPDA","1"
"7",20200122,0.00584436591494797,118.600921066065,0.1,1.915,77.0569363295224,"","YPDA","1"
"8",20200122,0.00584526085639167,118.582762615633,0.05,1.961,84.8629305912471,"","YPDA","1"
"9",20200122,0.00588770729406011,117.727860088975,0.025,1.975,105.899294940647,"","YPDA","1"
"10",20200122,8.00160738468581e-19,866259924082943488,NA,0.103,2220,"blank","YPDA","2"
"11",20200122,7.61913054908218e-05,9097.45772296084,NA,0.087,450.000000000007,"blank","SC+GLU","1"
"12",20200122,0.00295131535104407,234.860425984209,1,1.862,30.2693157937914,"","SC+GLU","1"
"13",20200122,0.00333911352237581,207.584191407414,0.8,1.859,32.9471901073251,"","SC+GLU","1"
"14",20200122,0.00387949689077035,178.669348133517,0.6,1.853,41.9803176752253,"","SC+GLU","1"
"15",20200122,0.00441130711710093,157.129658434545,0.4,1.849,52.5561378546367,"","SC+GLU","1"
"16",20200122,0.00510124390041839,135.878070935423,0.2,1.858,74.218058327015,"","SC+GLU","1"
"17",20200122,0.00531449228851144,130.425851225403,0.1,1.861,84.9433505374751,"","SC+GLU","1"
"18",20200122,0.00548067669948541,126.471094459016,0.05,1.878,100.881942261051,"","SC+GLU","1"
"19",20200122,0.00543086513432904,127.63107965589,0.025,1.866,160.776352987096,"","SC+GLU","1"
"20",20200122,0.000115608224010761,5995.65633406345,NA,0.086,980.000000000002,"blank","SC+GLU","2"
"21",20200122,6.44127394115783e-05,10761.0262642447,NA,0.104,-30.0000000000107,"blank","YPDA","3"
"22",20200122,0.00407856399870719,169.948830220552,1,1.91,44.5060125123037,"","YPDA","2"
"23",20200122,0.00436157195461992,158.921413603126,0.8,1.906,42.537469384091,"","YPDA","2"
"24",20200122,0.00498605668334227,139.017108023592,0.6,1.909,42.4891504631133,"","YPDA","2"
"25",20200122,0.00536757455101077,129.136013663642,0.4,1.921,57.93036216486,"","YPDA","2"
"26",20200122,0.00573942224748515,120.7695044329,0.2,1.926,79.3950825909491,"","YPDA","2"
"27",20200122,0.00583184558407889,118.855544195522,0.1,1.935,73.9025678265213,"","YPDA","2"
"28",20200122,0.00586906987546664,118.101708663817,0.05,1.949,74.9522680539518,"","YPDA","2"
"29",20200122,0.00585694509968588,118.346197337093,0.025,1.996,90.1965571438527,"","YPDA","2"
"30",20200122,-2.46991663476079e-18,-280635860662186336,NA,0.104,1438.39416634585,"blank","YPDA","4"
"31",20200122,0.000267129897861131,2594.794465576,NA,0.086,497.016628433983,"blank","SC+GLU","3"
"32",20200122,0.0030428741994963,227.793571181709,1,1.859,30.632079357332,"","SC+GLU","2"
"33",20200122,0.00337309674095221,205.49282567101,0.8,1.856,37.0889224321737,"","SC+GLU","2"
"34",20200122,0.00391161253152554,177.202413320221,0.6,1.847,43.6697813318685,"","SC+GLU","2"
"35",20200122,0.00439360509555053,157.762740502533,0.4,1.856,48.5496255308474,"","SC+GLU","2"
"36",20200122,0.00504109296648017,137.499384591576,0.2,1.844,70.3028996320765,"","SC+GLU","2"
"37",20200122,0.0052329546317623,132.458090951672,0.1,1.863,75.1484938864508,"","SC+GLU","2"
"38",20200122,0.00539900808777502,128.384171553556,0.05,1.897,80.4746555257019,"","SC+GLU","2"
"39",20200122,0.00568665438063265,121.890154414982,0.025,1.974,120.578983430039,"","SC+GLU","2"
"40",20200122,0.000116960397631917,5926.34083496645,NA,0.085,888.816540584568,"blank","SC+GLU","4"
"41",20200122,9.75617494536562e-05,7104.70224695185,NA,0.103,690.000000000011,"blank","YPDA","5"
"42",20200122,0.00409958831478421,169.077265163497,1,1.912,31.918927569917,"","YPDA","3"
"43",20200122,0.00443819993462665,156.177547377269,0.8,1.924,37.4800547976143,"","YPDA","3"
