"","MaxGR","DTime","SOD","LagTime","Sample","Replicate","Group"
"1",8.53612759075908e-06,81201.5955935713,0.107,-100.000000000235,"blank","",NA
"2",0.00565047035013426,122.670704845567,1.714,79.4289297235167,"col","one","Colony 1"
"3",0.00572371258939797,121.100975937167,1.727,80.0800080693807,"pop","two","Population 2"
"4",0.00569988024789671,121.607323384684,1.722,81.2192413304315,"pop","two","Population 2"
"5",0.0056339831366956,123.029686767306,1.746,82.2932120437892,"pop","one","Population 1"
"6",0.005683679862187,121.9539448679,1.748,87.7014079083245,"col","two","Colony 2"
"7",0.00573325578174396,120.899399389626,1.735,86.4572156758301,"col","two","Colony 2"
"8",0.00577376135319048,120.051234915853,1.739,89.3748231427316,"pop","one","Population 1"
"9",0.00547319892374803,126.643886001001,1.754,83.3561139989992,"col","one","Colony 1"
"10",0.00574333327776452,120.68726417871,1.718,90.0552312643046,"col","one","Colony 1"
"11",0.00585694669674122,118.346165066793,1.664,93.2645773083437,"pop","two","Population 2"
"12",0.0056609497515496,122.443620060434,1.707,82.2949728144855,"col","one","Colony 1"
"13",0.00581177957149259,119.265910214473,1.702,80.7676677937461,"pop","two","Population 2"
"14",0.00575263201983786,120.492181347536,1.674,73.1411664883385,"pop","two","Population 2"
"15",0.00568933272594895,121.832772655133,1.714,83.0725563331713,"pop","one","Population 1"
"16",0.00567728039775328,122.091412084253,1.71,75.2487703064658,"col","two","Colony 2"
"17",0.00558323072600509,124.148045204627,1.742,91.602839898305,"col","two","Colony 2"
"18",0.00576472008880464,120.2395207195,1.699,77.8437634247468,"pop","one","Population 1"
"19",0.00559686849652478,123.845536301297,1.708,86.4843984049131,"col","one","Colony 1"
"20",0.0058145116999588,119.209869431488,1.738,86.508162811546,"col","one","Colony 1"
"21",0.00558307655882775,124.151473342053,1.715,74.2878169251857,"pop","two","Population 2"
"22",0.0056753833366652,122.132222520009,1.749,78.3028405820068,"col","one","Colony 1"
"23",0.00544972307401323,127.189431673178,1.758,72.2195643452677,"pop","one","Population 1"
"24",0.00530799164449097,130.585582454589,1.904,132.858292630585,"blank","",NA
"25",0.00568455295393587,121.935213934462,1.756,80.8555394096833,"pop","one","Population 1"
"26",0.00550265834531494,125.965876320506,1.773,80.6748719298657,"col","two","Colony 2"
"27",0.00558292557862653,124.154830795804,1.758,78.9815877785654,"col","two","Colony 2"
"28",0.00573600209139191,120.841514615233,1.746,79.2690222191398,"pop","one","Population 1"
"29",0.00563741125757415,122.954872172696,1.769,93.1414798466877,"col","one","Colony 1"
"30",0.00555554959196962,124.76662643096,1.758,74.5050617546912,"col","two","Colony 2"
"31",0.00599415588651225,115.6371628772,1.657,96.43013943021,"pop","two","Population 2"
"32",0.00568112449648938,122.008799664269,1.675,90.9783033694608,"col","one","Colony 1"
"33",0.00574333327776452,120.68726417871,1.714,74.8797564679452,"pop","one","Population 1"
"34",0.00593277183984521,116.83361492257,1.684,83.4032171524996,"pop","two","Population 2"
"35",0.00574627557923463,120.625467923045,1.712,84.6854713328403,"pop","one","Population 1"
"36",0.00593118616169001,116.864849907601,1.712,81.2919803267037,"col","two","Colony 2"
"37",0.0056318074155669,123.077216497854,1.76,79.7036230326844,"col","two","Colony 2"
"38",0.00591225691458999,117.23901558632,1.697,82.9359145022165,"pop","one","Population 1"
"39",0.00562386349127252,123.251067817634,1.741,83.8107226362251,"col","one","Colony 1"
"40",9.97009708274403e-19,695226109442429696,0.107,1781.68459610561,"blank","",NA
"41",0.00590750256291567,117.333369419283,1.642,88.902605166193,"pop","two","Population 2"
"42",0.00591517890475939,117.181101657337,1.685,53.3038140125946,"col","one","Colony 1"
"43",0.00575375808889978,120.468599800394,1.728,76.4811952078506,"pop","one","Population 1"
"44",0.00569202447976261,121.775158034607,1.704,78.4231694977537,"pop","two","Population 2"
"45",0.00582334661709607,119.029009629105,1.701,79.0168961212629,"pop","one","Population 1"
"46",0.00562350022675964,123.259029538503,1.738,79.4220283731415,"col","two","Colony 2"
"47",0.00554404051491711,125.025634047032,1.763,74.9216877167249,"col","two","Colony 2"
"48",0.00592270590791508,117.032179435691,1.698,77.0918086349277,"pop","two","Population 2"
"49",0.00555125630308973,124.863119754379,1.751,99.5557258732287,"col","one","Colony 1"
"50",0.00576564837412247,120.220161824461,1.74,79.906199956285,"col","two","Colony 2"
"51",0.00607738522646513,114.053520507718,1.706,77.6449187115249,"pop","two","Population 2"
"52",0.005785625522812,119.805054410617,1.661,102.36035954015,"col","one","Colony 1"
"53",0.00565516221210745,122.568929866582,1.753,76.2173129239536,"pop","one","Population 1"
"54",0.00582922701147917,118.908935815155,1.713,79.3163366141574,"pop","two","Population 2"
"55",0.00581948580972673,119.10797675654,1.719,82.0557976391747,"pop","one","Population 1"
"56",0.00570847500514243,121.424229752347,1.745,78.368331646015,"col","two","Colony 2"
"57",0.000312991344994627,2214.58897073287,0.106,839.999999999999,"blank","",NA
"58",0.00587837966024834,117.914667071821,1.708,75.3275002026633,"pop","two","Population 2"
"59",0.00570649591097325,121.466341407003,1.724,89.9819221121206,"col","one","Colony 1"
"60",0.00562184553433799,123.295308689332,1.754,79.835979623034,"col","two","Colony 2"
