"","Media","Sample","MaxGrowthRate","DoubleTime","SaturationPoint"
"1","SC+CASE+GAL","GEV",0.00530513465855033,130.655906998099,6.68619124590721
"2","SC+CASE+GAL","GEV",0.00554238497223105,125.062979932432,6.78753054815292
"3","SC+CASE+GAL","GEV",0.00546166332070665,126.911371107779,6.31700660036078
"4","SC+CASE+GAL","GEV",0.00533592304723143,129.902019655173,6.79508210031561
"5","SC+CASE+GAL","GEV",0.004872792601181,142.248447100324,6.65390126370041
"6","SC+CASE+GAL","GEV",0.00731781983751093,94.7204489794752,6.70362610812428
"7","SC+CASE+GAL","GEV",0.00484693825718602,143.007223071656,6.5945923152744
"8","SC+CASE+GAL","GEV",0.00576459175756814,120.242197489516,5.64712539880741
"9","SC+CASE+GAL","GEV",0.00598869643141355,115.742580793386,5.76329991562751
"10","SC+CASE+GAL","MEDIA",0.00014246048944396,4865.53979468539,0.00929469800584737
"11","SC+CASE+GAL","MEDIA",0.00157834646705098,439.16034598857,0.0196571353008831
"12","SC+CASE+GAL","MEDIA",0.000314316719252079,2205.25074901933,0.00870275481393232
"13","SC+CASE+GAL","MEDIA",0.00189175280890431,366.404731790203,0.0131428344012771
"14","SC+CASE+GAL","MEDIA",0.000317303443445578,2184.49309289904,0.00515151960889831
"15","SC+CASE+GAL","MEDIA",0.000850147635859995,815.325657947363,0.0033761689773284
"16","SC+CASE+GAL","YBR196C-A",0.00548296077643128,126.41840947312,4.71883050488696
"17","SC+CASE+GAL","YBR196C-A",0.00527130754449142,131.49435404965,7.05426038156721
"18","SC+CASE+GAL","YBR196C-A",0.00545187798524152,127.139158733252,7.46002341651108
"19","SC+CASE+GAL","YBR196C-A",0.00536964775986242,129.086154540927,7.05943969567067
"20","SC+CASE+GAL","YBR196C-A",0.00557634335857837,124.301381028419,6.44803144829715
"21","SC+CASE+GAL","YBR196C-A",0.00565570201966588,122.557231295028,5.71329695914779
"22","SC+CASE+GAL","YBR196C-A",0.00507105630838517,136.686942208431,4.43470165271545
"23","SC+CASE+GAL","YBR196C-A",0.00814267437390945,85.1252486260423,4.45219926114899
"24","SC+CASE+GAL","YBR196C-A",0.00559629837514626,123.858153031705,7.97312301295668
"25","SC+CASE+GAL","YEL035C",0.00580368357065144,119.432283328662,7.84212531094445
"26","SC+CASE+GAL","YEL035C",0.00608341042972658,113.940558271867,8.10860138689997
"27","SC+CASE+GAL","YEL035C",0.00567848628677484,122.065484629994,7.32467508457342
"28","SC+CASE+GAL","YEL035C",0.00574750818236031,120.599598742162,7.98304809574422
"29","SC+CASE+GAL","YEL035C",0.00560745892183842,123.611637681457,7.12963622523859
"30","SC+CASE+GAL","YEL035C",0.00581789945139387,119.140453758423,7.28084885321081
"31","SC+CASE+GAL","YEL035C",0.00557386030762739,124.356754978489,6.89381910335005
"32","SC+CASE+GAL","YEL035C",0.00588532470052571,117.775520609429,6.53200609539405
"33","SC+CASE+GAL","YEL035C",0.00569924806598853,121.620812523752,7.14922659315198
"34","SC+CASE+GAL","YEL035C",0.0107299500190825,64.5992925714683,7.53993939976441
"35","SC+CASE+GAL","YEL035C",0.00693084434622918,100.009053144739,7.26231465405299
"36","SC+CASE+GAL","YEL035C",NA,NA,NA
"37","SC+CASE+GAL","YPR126C",0.000682685908330193,1015.3236973286,0.00929469800584737
"38","SC+CASE+GAL","YPR126C",0.00591654392930389,117.154066435115,7.68234818650715
"39","SC+CASE+GAL","YPR126C",0.00586902273298693,118.102657306829,7.07888719067453
"40","SC+CASE+GAL","YPR126C",0.00556122716011846,124.63924968409,6.82914104991192
"41","SC+CASE+GAL","YPR126C",0.00578506634812632,119.816634563654,6.9320761235814
"42","SC+CASE+GAL","YPR126C",0.00590120090789221,117.458665003752,6.90400565863936
"43","SC+CASE+GAL","YPR126C",0.00601065688454763,115.319705295757,6.66134253384355
"44","SC+CASE+GAL","YPR126C",0.0063461060884487,109.224014048808,6.69241412579633
"45","SC+CASE+GAL","YPR126C",0.00702286005051496,98.6987033166238,7.20166232767719
"46","SC+CASE+GAL","YPR126C",0.00851119804925461,81.4394373798704,7.63282965758957
"47","SC+CASE+GAL","YPR126C",0.00614352488824459,112.825648657541,5.11641793860699
"48","SC+CASE+GAL","YPR126C",NA,NA,NA
"49","SC+GAL","BLANK",NA,NA,NA
"50","SC+GAL","GEV",0.00813967980403916,85.1565660133196,3.19201338874014
"51","SC+GAL","GEV",0.00721774166348597,96.0338029368004,3.38039528866362
"52","SC+GAL","GEV",0.00679544737207991,102.001699462473,3.5061066010844
"53","SC+GAL","GEV",0.00724594768579011,95.6599758399116,3.53179654057947
"54","SC+GAL","GEV",0.00707930611211701,97.9117401596109,2.83936931136581
"55","SC+GAL","GEV",0.00794298853979456,87.2652877550133,3.06304223268969
"56","SC+GAL","GEV",0.00800714270152051,86.5661080860118,3.38418011683246
"57","SC+GAL","GEV",0.00877796312891843,78.9644670842165,3.56075909119556
"58","SC+GAL","GEV",NA,NA,NA
"59","SC+GAL","MEDIA",0.00614319325535227,112.831739414357,0.057618204450428
"60","SC+GAL","MEDIA",0.00307775070304557,225.212256429361,0.0033761689773284
"61","SC+GAL","MEDIA",0.00828560148808387,83.6568330684032,0.209525430477997
"62","SC+GAL","MEDIA",NA,NA,NA
"63","SC+GAL","MEDIA",NA,NA,NA
"64","SC+GAL","YBR196C-A",0.0107663492964957,64.3808928608282,2.90831795046961
"65","SC+GAL","YBR196C-A",0.00688395422349576,100.690265805974,5.32365852935236
"66","SC+GAL","YBR196C-A",0.00667258093599366,103.879921009414,5.57172919736551
