"","Media","Sample","MaxGrowthRate","DoubleTime","SaturationTime"
"1","SC+CASE+GAL","GEV1",1.81231647367944e-06,106.240210407606,17
"2","SC+CASE+GAL","GEV1",1.94220738763103e-06,99.1350793509861,17
"3","SC+CASE+GAL","GEV1",1.84829152242096e-06,104.172356553731,21.5
"4","SC+CASE+GAL","GEV2",1.98112075829896e-06,97.1878582778538,24.25
"5","SC+CASE+GAL","GEV2",1.9345524721395e-06,99.5273512927435,24.25
"6","SC+CASE+GAL","GEV2",1.96823620946413e-06,97.8240734333885,22.25
"7","SC+CASE+GAL","GEV3",1.80760023817411e-06,106.517403252482,24.25
"8","SC+CASE+GAL","GEV3",2.05680724637305e-06,93.6115349789815,18.75
"9","SC+CASE+GAL","GEV3",2.01114507255984e-06,95.7369441498331,23.5
"10","SC+CASE+GAL","MEDIA",4.8438860646402e-07,397.492593590092,19.25
"11","SC+CASE+GAL","MEDIA",7.30251959546404e-07,263.663631397128,20
"12","SC+CASE+GAL","MEDIA",4.21344748029604e-07,456.967564896159,14
"13","SC+CASE+GAL","MEDIA",6.44334396371804e-07,298.821364454631,21.25
"14","SC+CASE+GAL","MEDIA",6.80259976481561e-07,283.040146628548,16.75
"15","SC+CASE+GAL","MEDIA",8.12399446881105e-07,237.002725971885,18.75
"16","SC+CASE+GAL","YBR196C-A",2.09509337898349e-06,91.9008600859078,18.75
"17","SC+CASE+GAL","YBR196C-A",1.85490341051524e-06,103.801029421468,17
"18","SC+CASE+GAL","YBR196C-A",1.94382706165974e-06,99.0524760595072,17
"19","SC+CASE+GAL","YBR196C-A",1.86864042292863e-06,103.037952688144,17.25
"20","SC+CASE+GAL","YBR196C-A",1.95094989080346e-06,98.6908399833785,17
"21","SC+CASE+GAL","YBR196C-A",1.97488571770738e-06,97.4946964082518,17.25
"22","SC+CASE+GAL","YBR196C-A",1.87268777893562e-06,102.81526138773,24.25
"23","SC+CASE+GAL","YBR196C-A",1.92042684749228e-06,100.259420836725,23.75
"24","SC+CASE+GAL","YBR196C-A",1.93246898113778e-06,99.6346566843787,20.5
"25","SC+CASE+GAL","YEL035C",1.99410124502168e-06,96.5552195353954,17.25
