"","OD","Sample","Media","y0","y0_lm","mumax","lag","r2"
"0.25:1.1_S:SC_GLU",0.25,"1.1_S","SC_GLU",0.507443212126352,0.323600654590836,0.00460734388319509,97.6429393486712,0.999143640678266
"0.125:1.1_S.1:SC_GLU",0.125,"1.1_S.1","SC_GLU",0.225659920420013,0.127419810071834,0.00527610136542234,108.326550866184,0.998725833198835
"0.0625:1.1_S.2:SC_GLU",0.0625,"1.1_S.2","SC_GLU",0.103004898982678,0.0418384046212356,0.00632790444309515,142.379182488794,0.999728895319779
"0.03125:1.1_S.3:SC_GLU",0.03125,"1.1_S.3","SC_GLU",0.0589118329917063,0.0238769245023361,0.00599694979939254,150.598139026429,0.994427896837394
"0.25:1.2_S:SC_GLU",0.25,"1.2_S","SC_GLU",0.498040495571213,0.331793494304772,0.00460523780810514,88.1971000774188,0.996111364939
"0.125:1.2_S.1:SC_GLU",0.125,"1.2_S.1","SC_GLU",0.271761658407302,0.162042659060106,0.00481807380572655,107.31794884297,0.999618055861275
"0.0625:1.2_S.2:SC_GLU",0.0625,"1.2_S.2","SC_GLU",0.121995615967538,0.0374778992152901,0.00659788249914599,178.880679455582,0.980636347979878
"0.03125:1.2_S.3:SC_GLU",0.03125,"1.2_S.3","SC_GLU",0.0508880029925376,0.0174179549267931,0.0066812922925152,160.466805628895,0.995574490142649
"0.25:1.3_S:SC_GLU",0.25,"1.3_S","SC_GLU",0.545424230608193,0.383055986334959,0.00424652687438301,83.2168852769831,0.999408737818159
"0.125:1.3_S.1:SC_GLU",0.125,"1.3_S.1","SC_GLU",0.24365225423013,0.134120047878911,0.00520058183173674,114.796144335072,0.999503952729484
"0.0625:1.3_S.2:SC_GLU",0.0625,"1.3_S.2","SC_GLU",0.119926802203228,0.0621072726390983,0.00557197685499459,118.094259601035,0.99890855394934
"0.03125:1.3_S.3:SC_GLU",0.03125,"1.3_S.3","SC_GLU",0.0397037074464768,0.0167619335599129,0.00676681710668759,127.435705792255,0.99877547428485
"0.25:2.1_S:SC_GLU",0.25,"2.1_S","SC_GLU",0.554509629296306,0.37912491853025,0.00704506807025912,53.9694460658426,0.999239927133953
"0.125:2.1_S.1:SC_GLU",0.125,"2.1_S.1","SC_GLU",0.290348027634778,0.190691638489821,0.00798337743257027,52.6622519164277,0.996950084602539
"0.0625:2.1_S.2:SC_GLU",0.0625,"2.1_S.2","SC_GLU",0.1381776023736,0.0768328273365574,0.0082825408721952,70.8608448046198,0.999178595751402
"0.03125:2.1_S.3:SC_GLU",0.03125,"2.1_S.3","SC_GLU",0.0561223283580591,0.0272427883060561,0.00890362888200789,81.1741949383554,0.996527328506547
"0.25:2.2_S:SC_GLU",0.25,"2.2_S","SC_GLU",0.628414140667238,0.43071100578352,0.00673980153936304,56.0494343334124,0.99850540760485
"0.125:2.2_S.1:SC_GLU",0.125,"2.2_S.1","SC_GLU",0.272099864136182,0.176642443589402,0.00744349619572364,58.0428253597078,0.999031571994617
"0.0625:2.2_S.2:SC_GLU",0.0625,"2.2_S.2","SC_GLU",0.129231014988103,0.0751485185800986,0.00818172445104167,66.261729627619,0.998575416610107
"0.03125:2.2_S.3:SC_GLU",0.03125,"2.2_S.3","SC_GLU",0.0856870582982976,0.0306049561180331,0.00867737365741406,118.646480222401,0.998023483357518
"0.25:2.3_S:SC_GLU",0.25,"2.3_S","SC_GLU",0.586180206120226,0.422237582000449,0.00675595878916927,48.5584837590286,0.999540565367395
"0.125:2.3_S.1:SC_GLU",0.125,"2.3_S.1","SC_GLU",0.293724236760739,0.217845651050805,0.00685826951486488,43.5757980931106,0.998227826687988
"0.0625:2.3_S.2:SC_GLU",0.0625,"2.3_S.2","SC_GLU",0.136802021557709,0.0913320793533369,0.00758734931561775,53.2508360724242,0.999240309383004
"0.03125:2.3_S.3:SC_GLU",0.03125,"2.3_S.3","SC_GLU",0.0578659418373696,0.0248530331253497,0.00927304803923149,91.1403868069949,0.998765360564641
"0.25:3.1_S:SC_GLU",0.25,"3.1_S","SC_GLU",0.517520814692675,0.359664529643491,0.00436047327443757,83.4492010756828,0.999209875336641
"0.125:3.1_S.1:SC_GLU",0.125,"3.1_S.1","SC_GLU",0.236527456624762,0.139986215724987,0.00519005350087745,101.06260718026,0.999579946715977
"0.0625:3.1_S.2:SC_GLU",0.0625,"3.1_S.2","SC_GLU",0.113370919964986,0.0622772517983697,0.00551044083744661,108.715204271441,0.999188289156322
"0.03125:3.1_S.3:SC_GLU",0.03125,"3.1_S.3","SC_GLU",0.0529823629744152,0.013967214241253,0.00743164355792195,179.401276501294,0.996511599570673
"0.25:3.2_S:SC_GLU",0.25,"3.2_S","SC_GLU",0.464476553521463,0.318419395787588,0.0045887570958205,82.2753751729273,0.999454614759889
"0.125:3.2_S.1:SC_GLU",0.125,"3.2_S.1","SC_GLU",0.264656894816046,0.152503636764501,0.00502569010623037,109.68559451465,0.997485084539434
"0.0625:3.2_S.2:SC_GLU",0.0625,"3.2_S.2","SC_GLU",0.134394043935762,0.0692186561691949,0.00539196396933941,123.054547622433,0.998848351176659
"0.03125:3.2_S.3:SC_GLU",0.03125,"3.2_S.3","SC_GLU",0.0494912938974912,0.0135873460355945,0.00743843240758571,173.780950254067,0.995170392794011
"0.25:3.3_S:SC_GLU",0.25,"3.3_S","SC_GLU",0.5333171272875,0.363573496091874,0.00437068709985369,87.6600766422127,0.999708634978797
"0.125:3.3_S.1:SC_GLU",0.125,"3.3_S.1","SC_GLU",0.226339530348934,0.147841802943788,0.00498856099711708,85.3740017904331,0.999690460848772
"0.0625:3.3_S.2:SC_GLU",0.0625,"3.3_S.2","SC_GLU",0.120616484349606,0.056953337276693,0.00576569135713871,130.146347823287,0.99834948221648
"0.03125:3.3_S.3:SC_GLU",0.03125,"3.3_S.3","SC_GLU",0.0407532739400187,0.0143448877462878,0.00742107318270237,140.69967088614,0.969137607373912
"0.25:4.1_S:SC_GLU",0.25,"4.1_S","SC_GLU",0.448035669425357,0.309109241597486,0.00728353504575941,50.9612570089761,0.998781670472034
"0.125:4.1_S.1:SC_GLU",0.125,"4.1_S.1","SC_GLU",0.258901918223455,0.176277110300656,0.00728804678428602,52.7428075126085,0.998650988147089
"0.0625:4.1_S.2:SC_GLU",0.0625,"4.1_S.2","SC_GLU",0.131985155210666,0.0522151664620433,0.00970125740445744,95.5872439146406,0.992568019476132
"0.03125:4.1_S.3:SC_GLU",0.03125,"4.1_S.3","SC_GLU",0.0365537035101639,0.0103546183437165,0.013293162980917,94.8871140096793,0.991046855307682
"0.25:4.2_S:SC_GLU",0.25,"4.2_S","SC_GLU",0.5165128875,0.375888382133263,0.00677707231370276,46.8945854262532,0.999541478713278
"0.125:4.2_S.1:SC_GLU",0.125,"4.2_S.1","SC_GLU",0.22973679407017,0.142602231383595,0.00770830934959303,61.8650734789065,0.999598420224002
"0.0625:4.2_S.2:SC_GLU",0.0625,"4.2_S.2","SC_GLU",0.108190174239974,0.051869501381182,0.00885137335655641,83.0559898585568,0.997159653442838
"0.03125:4.2_S.3:SC_GLU",0.03125,"4.2_S.3","SC_GLU",0.0529823629744152,0.0175832164322998,0.00992147695752404,111.174400097807,0.998001461908002
"0.125:4.3_S:SC_GLU",0.125,"4.3_S","SC_GLU",0.245686920691837,0.15667807107831,0.00761704367428661,59.060295175659,0.998501947365378
