"","Media","Sample","MaxGrowthRate","DoubleTime","SaturationTime"
"68","SC+GAL","YBR196C-A",2.90762240902626e-06,66.2193560247577,25.75
"69","SC+GAL","YBR196C-A",2.2658668348355e-06,84.9744921143398,25.75
"70","SC+GAL","YBR196C-A",2.19798517152518e-06,87.5988091199312,25.75
"71","SC+GAL","YBR196C-A",2.58357487255986e-06,74.5249868830395,25.75
"72","SC+GAL","YBR196C-A",2.82620763265498e-06,68.1269420067335,25.75
"73","SC+GAL","YEL035C",2.8705116587965e-06,67.0754577494379,25.75
"74","SC+GAL","YEL035C",4.32938050615769e-06,44.4730795121894,25.75
"75","SC+GAL","YEL035C",2.18832906848915e-06,87.9853429090563,25.75
"76","SC+GAL","YEL035C",2.35613032390684e-06,81.7191144034895,25.75
"77","SC+GAL","YEL035C",2.69585338520571e-06,71.4211256982664,25.75
"78","SC+GAL","YEL035C",2.61983318014065e-06,73.4935662882692,25.75
"79","SC+GAL","YEL035C",2.89072024810177e-06,66.6065433399543,25.75
"80","SC+GAL","YEL035C",4.27042994229722e-06,45.0870020327038,25.75
"81","SC+GAL","YEL035C",3.23289280778448e-06,59.5568411749547,25.75
"82","SC+GAL","YEL035C",2.69891817453906e-06,71.3400225709907,25.75
"83","SC+GAL","YEL035C",2.97614570824548e-06,64.6947099919991,25.75
"84","SC+GAL","YEL035C",3.69389120733169e-06,52.1241348707605,25.75
"85","SC+GAL","YPR126C",2.0505018620162e-06,93.8993946094513,25.75
"86","SC+GAL","YPR126C",1.96191417599901e-06,98.139299794208,25.75
"87","SC+GAL","YPR126C",1.80599426374517e-06,106.612123501208,25.75
"88","SC+GAL","YPR126C",1.9906384200895e-06,96.7231826462069,25.75
"89","SC+GAL","YPR126C",1.83961127861548e-06,104.663895969252,25.75
"90","SC+GAL","YPR126C",1.79674808326864e-06,107.160756302911,25.75
"91","SC+GAL","YPR126C",2.00254397026081e-06,96.14814273656,25.75
"92","SC+GAL","YPR126C",2.98685473065332e-06,64.4627545869159,25.75
"93","SC+GAL","YPR126C",2.94466458168033e-06,65.3863549304494,25.75
"94","SC+GAL","YPR126C",3.25103504605406e-06,59.2244872052579,25.75
"95","SC+GAL","YPR126C",3.37191537492949e-06,57.1013391737033,25.75
"96","SC+GAL","YPR126C",2.75318980451451e-06,69.9337485461979,25.75
