"","Media","Sample","MaxGrowthRate","DoubleTime","LagTime"
"1","SC+CASE+GAL","GEV",0.00491504678639137,140.218383219656,260.657240092495
"2","SC+CASE+GAL","GEV",0.00523879399376286,131.803809724179,186.023990783348
"3","SC+CASE+GAL","GEV",0.00517301068804581,130.514400453441,201.478317884127
"4","SC+CASE+GAL","GEV",0.00492198081098422,134.086054751913,187.748004817273
"5","SC+CASE+GAL","GEV",0.00448962682721321,156.298415762494,230.238539631331
"6","SC+CASE+GAL","GEV",0.00635294735650811,150.678273690651,17.5939587447571
"7","SC+CASE+GAL","GEV",0.00444923832402717,156.806541502713,204.923859893749
"8","SC+CASE+GAL","GEV",0.00545549712243714,121.018220984817,261.292795780912
"9","SC+CASE+GAL","GEV",0.00566993511736679,122.916804483904,265.252716459794
"10","SC+CASE+GAL","MEDIA",0.000110414187367364,8351.08652074214,1825.49559832847
"11","SC+CASE+GAL","MEDIA",0.00114767558947073,976.448048545219,84.8127625987537
"12","SC+CASE+GAL","MEDIA",0.000236464172494413,14074.3452521528,1306.59727908763
"13","SC+CASE+GAL","MEDIA",0.00129064165918887,407.441879656462,92.7818473918483
"14","SC+CASE+GAL","MEDIA",0.000231470865101943,2585.6746220287,1353.24041525496
"15","SC+CASE+GAL","MEDIA",0.000548735422784391,1147.51229124222,114.373850323415
"16","SC+CASE+GAL","YBR196C-A",0.00516747434440727,133.773761964787,248.09978526526
"17","SC+CASE+GAL","YBR196C-A",0.00486822271127465,136.237794826486,247.601699011841
"18","SC+CASE+GAL","YBR196C-A",0.00509911375179547,133.383949999392,243.826231449487
"19","SC+CASE+GAL","YBR196C-A",0.00506432259107624,133.52041597943,231.71196238686
"20","SC+CASE+GAL","YBR196C-A",0.00524371694375167,132.730738176108,248.929817596341
"21","SC+CASE+GAL","YBR196C-A",0.00535240311400184,114.279329463477,270.653997612916
"22","SC+CASE+GAL","YBR196C-A",0.00473467147657702,146.54946744367,362.526705828796
"23","SC+CASE+GAL","YBR196C-A",0.00674684146147019,162.57628295813,8.27097781043074
"24","SC+CASE+GAL","YBR196C-A",0.00516794818841628,133.939940672756,12.1954992358977
"25","SC+CASE+GAL","YEL035C",0.00548580524987209,123.375140265442,191.524685837323
"26","SC+CASE+GAL","YEL035C",0.00570169249752806,116.709192278762,58.2263705589074
"27","SC+CASE+GAL","YEL035C",0.00531844460712108,126.450447606604,225.146276329431
"28","SC+CASE+GAL","YEL035C",0.00535212217466561,129.391668274223,123.818538986683
"29","SC+CASE+GAL","YEL035C",0.00522262658907745,135.529274092498,213.630155580765
"30","SC+CASE+GAL","YEL035C",0.00539990617228331,107.396739844296,269.370755567088
"31","SC+CASE+GAL","YEL035C",0.00527888095765482,130.433122571928,239.591763299645
"32","SC+CASE+GAL","YEL035C",0.00556955299255754,123.576945062417,311.825150480523
"33","SC+CASE+GAL","YEL035C",0.00537940627109793,129.667334174543,315.793116441396
"34","SC+CASE+GAL","YEL035C",0.00914885423990146,149.076841605472,-15.494667400148
"35","SC+CASE+GAL","YEL035C",0.00581126891429917,124.618470496267,-9.52008345207512
"36","SC+CASE+GAL","YEL035C",NA,NA,NA
"37","SC+CASE+GAL","YPR126C",0.000529004341678769,1105.56026127052,352.125671572902
"38","SC+CASE+GAL","YPR126C",0.00555872830780986,129.671306195075,243.883730201242
"39","SC+CASE+GAL","YPR126C",0.00554302747628039,132.8120116742,87.7574317319077
"40","SC+CASE+GAL","YPR126C",0.00526560667706379,127.669907325498,182.725578118832
"41","SC+CASE+GAL","YPR126C",0.00547424365141837,126.63731890676,197.86724239858
"42","SC+CASE+GAL","YPR126C",0.00556215932482231,124.681954979045,162.752510606826
"43","SC+CASE+GAL","YPR126C",0.00566196637721271,120.158191465737,151.050429222431
"44","SC+CASE+GAL","YPR126C",0.00593394323875777,115.324078689141,93.811858347533
"45","SC+CASE+GAL","YPR126C",0.00588360364200725,131.882080467984,-4.71274283608872
"46","SC+CASE+GAL","YPR126C",0.00763282643476278,144.011325289821,-42.2884151254156
"47","SC+CASE+GAL","YPR126C",0.00572324061806332,117.286004661264,223.140670507179
"48","SC+CASE+GAL","YPR126C",0.00594387773615918,118.316074232323,120.620113875613
"49","SC+GAL","BLANK",-3.23885344095432e-18,4902862147927784,2193.80947212833
"50","SC+GAL","GEV",0.00725286608869021,88.0785005103222,356.227827611879
"51","SC+GAL","GEV",0.00661632225815464,99.9615107996009,385.047386092944
"52","SC+GAL","GEV",0.00638268548304307,110.931607892642,376.285734079679
"53","SC+GAL","GEV",0.00666905301525919,86.3474672015999,345.370301032398
"54","SC+GAL","GEV",0.00665429276306896,114.765728640282,450.138656236034
"55","SC+GAL","GEV",0.00734462344371915,86.0444859706052,355.902598453483
"56","SC+GAL","GEV",0.00741083636110219,88.9668605253045,381.513509528461
"57","SC+GAL","GEV",0.00775099107404645,83.9954863726494,406.938386069053
"58","SC+GAL","GEV",0.00784198303166929,86.3275968146976,218.122768392395
"59","SC+GAL","MEDIA",0.00474121554967518,72.5079346957498,-36.2035291125228
"60","SC+GAL","MEDIA",0.00104297611334542,1021.64700496324,705.22159282593
"61","SC+GAL","MEDIA",0.00445401130144997,128.663062529747,73.7217305077661
"62","SC+GAL","MEDIA",0.00140422767543188,372.988494666629,2205.37198916521
"63","SC+GAL","MEDIA",0.00408759537476907,138.10496891505,141.553432770059
"64","SC+GAL","YBR196C-A",0.00643798295142735,123.245232896739,310.232902999431
"65","SC+GAL","YBR196C-A",0.00632198948303639,110.633733159533,72.4902492411295
