"","Media","Sample","MaxGrowthRate","DoubleTime","SaturationTime"
"68","SC+GAL","YBR196C-A",3.03283829946633e-06,63.4853772199969,25.75
"69","SC+GAL","YBR196C-A",2.12846964227596e-06,90.4597743207607,25.75
"70","SC+GAL","YBR196C-A",2.02122869650823e-06,95.2593260829403,25.75
"71","SC+GAL","YBR196C-A",2.40030134102662e-06,80.2152963871292,25.75
"72","SC+GAL","YBR196C-A",3.25026049543275e-06,59.2386006473731,25.75
"73","SC+GAL","YEL035C",3.3075500678279e-06,58.2125378423424,25.75
"74","SC+GAL","YEL035C",3.3901584339791e-06,56.7940664834606,25.75
"75","SC+GAL","YEL035C",2.22479953895307e-06,86.5430256154574,25.75
"76","SC+GAL","YEL035C",2.32397899679026e-06,82.8496659198726,25.75
"77","SC+GAL","YEL035C",3.00083109452667e-06,64.1625194567119,25.75
"78","SC+GAL","YEL035C",2.87386907110078e-06,66.9970965013813,25.75
"79","SC+GAL","YEL035C",3.19085827315315e-06,60.3414088017793,25.75
"80","SC+GAL","YEL035C",3.77375777460848e-06,51.020996838847,25.75
"81","SC+GAL","YEL035C",3.89232662881951e-06,49.466784740845,25.75
"82","SC+GAL","YEL035C",2.59123629759309e-06,74.3046412508649,25.75
"83","SC+GAL","YEL035C",3.465890643635e-06,55.5530751792383,25.75
"84","SC+GAL","YEL035C",4.13165830939679e-06,46.601356905766,25.75
"85","SC+GAL","YPR126C",1.96508701410475e-06,97.9808436506264,25.75
"86","SC+GAL","YPR126C",1.89910841852366e-06,101.384882301007,25.75
"87","SC+GAL","YPR126C",1.73230784424043e-06,111.147036670781,25.75
"88","SC+GAL","YPR126C",1.88898804070785e-06,101.928058484015,25.75
"89","SC+GAL","YPR126C",1.72708265167963e-06,111.483305851994,25.75
"90","SC+GAL","YPR126C",1.72137625489535e-06,111.852875245208,25.75
"91","SC+GAL","YPR126C",1.96887902167219e-06,97.7921352046033,25.75
"92","SC+GAL","YPR126C",3.28832359364916e-06,58.5529002865576,25.75
"93","SC+GAL","YPR126C",3.56265336533728e-06,54.0442371863045,25.75
"94","SC+GAL","YPR126C",4.06310086447837e-06,47.3876701344436,25.75
"95","SC+GAL","YPR126C",3.94793941138242e-06,48.7699691980463,25.75
"96","SC+GAL","YPR126C",3.32700569966278e-06,57.872123125124,25.75
