"","Media","Sample","MaxGrowthRate","DoubleTime","NA.","NA..1"
"59","SC+GAL","MEDIA",0.00955960452422837,NA,"MEDIA","0.00955960452422837"
"60","SC+GAL","MEDIA",0.0006784605418433,NA,"MEDIA","0.0006784605418433"
"61","SC+GAL","MEDIA",0.00538730515916087,NA,"MEDIA","0.00538730515916087"
"62","SC+GAL","MEDIA",0.00185836075501329,NA,"MEDIA","0.00185836075501329"
"63","SC+GAL","MEDIA",0.00501898799156393,NA,"MEDIA","0.00501898799156393"
"64","SC+GAL","YBR196C-A",0.00562412974740127,NA,"YBR196C-A","0.00562412974740127"
"65","SC+GAL","YBR196C-A",0.00626524262324611,NA,"YBR196C-A","0.00626524262324611"
"66","SC+GAL","YBR196C-A",0.00429252624913717,NA,"YBR196C-A","0.00429252624913717"
"67","SC+GAL","YBR196C-A",0.0070404841377848,NA,"YBR196C-A","0.0070404841377848"
"68","SC+GAL","YBR196C-A",0.00697985817501366,NA,"YBR196C-A","0.00697985817501366"
"69","SC+GAL","YBR196C-A",0.00530648306422162,NA,"YBR196C-A","0.00530648306422162"
"70","SC+GAL","YBR196C-A",0.00436261872236522,NA,"YBR196C-A","0.00436261872236522"
"71","SC+GAL","YBR196C-A",0.00796341099720999,NA,"YBR196C-A","0.00796341099720999"
"72","SC+GAL","YBR196C-A",0.00785561323814615,NA,"YBR196C-A","0.00785561323814615"
"73","SC+GAL","YEL035C",0.0055007042467726,NA,"YEL035C","0.0055007042467726"
"74","SC+GAL","YEL035C",0.00790634733060267,NA,"YEL035C","0.00790634733060267"
"75","SC+GAL","YEL035C",0.00587116424826725,NA,"YEL035C","0.00587116424826725"
"76","SC+GAL","YEL035C",0.00576748167192652,NA,"YEL035C","0.00576748167192652"
"77","SC+GAL","YEL035C",0.00683721252660646,NA,"YEL035C","0.00683721252660646"
"78","SC+GAL","YEL035C",0.0074120680671694,NA,"YEL035C","0.0074120680671694"
"79","SC+GAL","YEL035C",0.00980718589165472,NA,"YEL035C","0.00980718589165472"
"80","SC+GAL","YEL035C",0.0095334418689784,NA,"YEL035C","0.0095334418689784"
"81","SC+GAL","YEL035C",0.00859924932038933,NA,"YEL035C","0.00859924932038933"
"82","SC+GAL","YEL035C",0.00555366129756865,NA,"YEL035C","0.00555366129756865"
"83","SC+GAL","YEL035C",0.00530159021503676,NA,"YEL035C","0.00530159021503676"
"84","SC+GAL","YEL035C",NA,NA,"YEL035C","NaN"
"85","SC+GAL","YPR126C",0.00489686791251383,NA,"YPR126C","0.00489686791251383"
"86","SC+GAL","YPR126C",0.00521525784778075,NA,"YPR126C","0.00521525784778075"
"87","SC+GAL","YPR126C",0.00553664765741705,NA,"YPR126C","0.00553664765741705"
"88","SC+GAL","YPR126C",NA,NA,"YPR126C","NaN"
"89","SC+GAL","YPR126C",0.00589355008340481,NA,"YPR126C","0.00589355008340481"
"90","SC+GAL","YPR126C",0.00417927341241942,NA,"YPR126C","0.00417927341241942"
"91","SC+GAL","YPR126C",0.00525096106483943,NA,"YPR126C","0.00525096106483943"
"92","SC+GAL","YPR126C",0.00771902067934852,NA,"YPR126C","0.00771902067934852"
"93","SC+GAL","YPR126C",0.00529658223679553,NA,"YPR126C","0.00529658223679553"
"94","SC+GAL","YPR126C",NA,NA,"YPR126C","NaN"
"95","SC+GAL","YPR126C",NA,NA,"YPR126C","NaN"
"96","SC+GAL","YPR126C",0.00874508030263435,NA,"YPR126C","0.00874508030263435"
