"","Media","Sample","StartingOD","MaxGrowthRate","DoubleTime","LagTime","SatPoint"
"1","Exp16_19","1.1_Y",0.03125,0.00613318950200038,113.015777571176,92.3691900019123,4.20595768743454
"2","Exp16_19","1.2_Y",0.03125,0.00581166257697755,119.268311155192,91.4846906170664,4.18276713791152
"3","Exp16_19","1.3_Y",0.03125,0.00605504077516297,114.47440344302,94.3977446290327,4.20595768743454
"4","Exp16_19","2.1_Y",0.03125,0.00944875875678924,73.3585435295293,70.8483086053603,6.73236669882727
"5","Exp16_19","2.2_Y",0.03125,0.0102224097919604,67.806632160754,77.161475851995,6.74786669463808
"6","Exp16_19","2.3_Y",0.03125,0.00941644285048428,73.6102997241997,81.3101805375291,6.74398932563713
"7","Exp16_19","3.1_Y",0.03125,0.00593585342043912,116.77296109995,72.4751904361176,4.32417525282232
"8","Exp16_19","3.2_Y",0.03125,0.00561227514502726,123.505559269329,85.4380755958549,4.44754320123299
"9","Exp16_19","3.3_Y",0.03125,0.00598750812008267,115.765551654964,91.6513200108239,4.49697563226714
"10","Exp16_19","4.1_Y",0.03125,0.00943614519730547,73.4566039485993,81.6338683501823,7.1895277590972
"11","Exp16_19","4.2_Y",0.03125,0.00977262002191817,70.9274666369249,82.7701719259029,7.22203373888096
"12","Exp16_19","4.3_Y",0.03125,0.00952662994672006,72.7589068155828,75.3557377902792,7.49003210846927
"13","Exp16_19","1.1_Y",0.0625,0.00574831946966969,120.582577954696,80.9301445155265,4.23670327491538
"14","Exp16_19","1.2_Y",0.0625,0.00546730359904425,126.780444510364,75.4062587267785,4.27041850405814
"15","Exp16_19","1.3_Y",0.0625,0.00587468302832229,117.988864627799,85.9451108475636,4.32038783149923
"16","Exp16_19","2.1_Y",0.0625,0.00923758405273803,75.0355478881403,70.3583863219261,7.14096398717256
"17","Exp16_19","2.2_Y",0.0625,0.00972270538941648,71.2915955794013,68.013818166459,7.06454879788103
"18","Exp16_19","2.3_Y",0.0625,0.00932664933765188,74.3189923268258,68.9676109348397,7.0953127050809
"19","Exp16_19","3.1_Y",0.0625,0.00578735801170856,119.769189871721,57.8404245024009,4.4823976843582
"20","Exp16_19","3.2_Y",0.0625,0.00547527378286199,126.595894205244,73.3081654102257,4.46107550873619
"21","Exp16_19","3.3_Y",0.0625,0.00569386390981388,121.735817985612,86.7972734619235,4.67446674508536
"22","Exp16_19","4.1_Y",0.0625,0.00940459268484978,73.7030516671459,71.022686524541,7.92329649511456
"23","Exp16_19","4.2_Y",0.0625,0.00970375175125897,71.4308443092659,81.4176132398869,8.13098155771826
"24","Exp16_19","4.3_Y",0.0625,0.00938023874881212,73.8944070744173,81.4715605981557,8.7213412649497
"25","Exp16_19","1.1_Y",0.125,0.00558238047986105,124.166954054912,52.8172078978946,4.35836439821024
"26","Exp16_19","1.2_Y",0.125,0.00550436438879579,125.926833981205,58.0063586939454,4.42056320827215
"27","Exp16_19","1.3_Y",0.125,0.00560725300377787,123.616177135745,59.7521825927697,4.49405743839218
"28","Exp16_19","2.1_Y",0.125,0.00892399709301327,77.6722777176408,60.6864869770274,7.28872437007071
"29","Exp16_19","2.2_Y",0.125,0.00943066132757541,73.499318497757,63.6410179042866,7.44973538246414
"30","Exp16_19","2.3_Y",0.125,0.00930884061818948,74.4611718032357,58.4429246058809,7.84819797258621
"31","Exp16_19","3.1_Y",0.125,0.00567123282796406,122.221605352214,56.4507793435782,4.50963620109354
"32","Exp16_19","3.2_Y",0.125,0.00542707007609965,127.720329909228,49.4009775351155,4.72461444236645
"33","Exp16_19","3.3_Y",0.125,0.00557962060768287,124.228371299209,52.1690048227937,4.77716145084975
"34","Exp16_19","4.1_Y",0.125,0.0094246167063676,73.5464584030915,62.9589071418275,8.59782749151257
"35","Exp16_19","4.2_Y",0.125,0.00959160679100091,72.2660129489747,64.5612562957407,9.79088378346968
"36","Exp16_19","4.3_Y",0.125,0.00916238881667798,75.6513606253244,59.0646427119234,10.1736599188249
"37","Exp16_19","BLANK_YPDA",0.25,0.00686404941442057,100.982253872433,497.272601491398,0.585835532672698
"38","Exp16_19","1.1_Y",0.25,0.00517364770847597,133.976493881554,40.3970085106411,4.61873918672765
"39","Exp16_19","1.2_Y",0.25,0.00519284891063417,133.481099197877,39.7481890739018,4.54972633636502
"40","Exp16_19","1.3_Y",0.25,0.00515540576035277,134.450557876654,38.5835159563269,4.70651865271355
"41","Exp16_19","2.1_Y",0.25,0.00853479932317401,81.2142329671285,53.4642222455495,9.55694294440223
"42","Exp16_19","2.2_Y",0.25,0.0085090424755476,81.4600682217582,50.8824094423222,8.18276175498873
"43","Exp16_19","2.3_Y",0.25,0.00845627355627533,81.9683961200104,52.2668606523875,8.31099156141086
"44","Exp16_19","3.1_Y",0.25,0.00518890635590166,133.582518746284,42.4705462402781,4.8096983714401
"45","Exp16_19","3.2_Y",0.25,0.00517714965571618,133.885868992531,39.352586341858,4.68546751970057
"46","Exp16_19","3.3_Y",0.25,0.00529992569508516,130.784320467498,38.3305210333426,4.59796009940793
"47","Exp16_19","4.1_Y",0.25,0.00875988605389967,79.1274197284078,50.0716795881982,10.2066117553123
"48","Exp16_19","4.2_Y",0.25,0.00873444521542933,79.3578943440513,57.3546491135061,9.30425131947261
