"","MaxGR","DTime","SOD","LagTime","Sample"
"1",0.00672404771212327,103.08480995907,0.905,58.7209627793253,"X1"
"2",0.00683807324240189,101.365860819074,1.032,54.9089182778761,"X2"
"3",0.00691395413228379,100.253366929842,0.951,55.807446417946,"X3"
"4",0.00652901042804331,106.164201788184,1.166,55.0824653323865,"X4"
"5",0.00673189195694576,102.964691797345,1.04,52.2827806641013,"X5"
"6",0.00623277401747989,111.210061301117,1.129,50.3582940289116,"X6"
"7",0.00667645082757886,103.819708773517,1.222,51.2582571968994,"X7"
"8",0.00675775180180274,102.570677481087,1.261,45.9215069779702,"X8"
"9",0.00668216588237955,103.730914910049,1.068,61.3270233801388,"X9"
"10",0.00723261773170784,95.8362803444158,0.978,69.8624540439953,"X10"
"11",0.00691197189314412,100.282117936195,1.156,70.8027511780303,"X11"
"12",0.00623925924205857,111.094467094342,1.173,54.5801394251353,"X12"
"13",0.00624011185146985,111.079287849091,1.021,53.4998295794068,"X13"
"14",0.00561463330740988,123.453686573826,1.265,41.7835221150514,"X14"
"15",0.00572734543499709,121.024161791334,0.649,69.9300125893587,"X15"
"16",0.00565590138326836,122.552911302601,0.694,70.7018412236041,"X16"
"17",0.00656770793350588,105.538673092294,0.844,58.0734690306407,"X17"
"18",0.00667857508915944,103.786686726792,1.047,57.3303243003708,"X18"
"19",0.00574734143819549,120.603097625878,1.065,17.2164466850694,"X19"
"20",0.00564750598376967,122.735094491617,1.093,10.2170287116854,"X20"
"21",0.00475607623852364,145.739291339684,1.235,11.0754788387801,"X21"
"22",0.00552676744950066,125.416382522585,0.978,20.7100116492811,"X22"
"23",0.00565955023832435,122.473898343761,1.06,17.8245831893644,"X23"
"24",0.00564622889349153,122.7628552854,1.099,18.7312887341881,"X24"
"25",0.00570007923651564,121.603078097499,1.04,19.2494746381337,"X25"
"26",0.00546007977226487,126.948178317993,0.935,21.5778754954345,"X26"
"27",0.0056205981151085,123.322672492225,0.961,27.2023288517606,"X27"
"28",0.00579981131137953,119.512022606659,0.995,28.7887666601774,"X28"
"29",0.00529665824859897,130.864999784211,1.228,22.649311861779,"X29"
"30",0.00580067481704,119.494231692451,1.111,20.3769123180049,"X30"
"31",0.00552741993121495,125.401577804057,0.928,29.6047831744819,"X31"
"32",0.00571853128985186,121.210699990399,0.983,29.4596087179844,"X32"
"33",0.00530756218530891,130.596148732566,0.821,29.9262924853661,"X33"
"34",0.00525861452408708,131.811749536876,0.879,28.5663071237526,"X34"
"35",0.0056235274143858,123.258433627757,0.833,36.4219190888269,"X35"
"36",0.00562820821710737,123.155923487882,0.891,34.2001121007192,"X36"
"37",0.00608523020974328,113.90648449916,0.998,19.4612331795737,"X37"
"38",0.00571801419735948,121.221661338307,1.171,10.8934057973066,"X38"
"39",0.00489404224037078,141.630812836513,1.308,21.7177096631597,"X39"
"40",0.00517317453035989,133.988748396572,1.177,13.3543236172056,"X40"
"41",0.0058617321869452,118.249547822002,0.931,15.1001232997911,"X41"
"42",0.00464645071471521,149.177775277969,1.515,4.06161468834954,"X42"
"43",0.00570817181577959,121.430679196414,1.077,16.5329775794251,"X43"
"44",0.00558995909152412,123.998614159975,1.002,23.6542927846227,"X44"
"45",0.00549929259333365,126.042971672428,1.061,21.515099762235,"X45"
"46",0.005524118340309,125.47652636297,1.042,18.8312504143252,"X46"
"47",0.00527702782562329,131.351814594246,1.281,16.949208915078,"X47"
"48",0.00578509154870969,119.816112627387,1.086,20.5436404836339,"X48"
"49",0.00565740011683951,122.520445124035,0.922,28.7527676342368,"X49"
"50",0.00545354852014027,127.100213374854,1.119,24.0998429820893,"X50"
"51",0.00530111348464162,130.755016388185,0.828,26.2220027236604,"X51"
"52",0.00547506778286727,126.60065738893,0.844,30.1220149829221,"X52"
"53",0.00582789580799581,118.936096902926,0.869,36.2022104402369,"X53"
"54",0.00528349479243835,131.191040739165,0.942,14.3012018092917,"X54"
