"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"1","BLANK..2",0,0,0,0,0,0,0,0,"cannot fit data"
"2","YBR4.1..3",1.05004658048307,0.0294809607075044,0.398185897993686,8.90128868047372,1.74076275441311,11.0925126856778,11.05945,0.0108836762493186,""
"3","YBR4.1..4",1.04694354266539,0.0290896162345105,0.409503424506149,8.68141803770509,1.69265295252625,11.2846759959465,11.2582875,0.0109053267507237,""
"4","YBR4.1..5",1.05700452189889,0.0302795458291323,0.398885986263362,8.83374466009581,1.73770752653692,11.2346211908792,11.201375,0.012146934575393,""
"5","YBR4.2..6",1.05575107721427,0.029173169301346,0.410536993256074,8.67336381715186,1.68839152608981,11.3881872452911,11.358725,0.0117981335656803,""
"6","YBR4.2..7",1.07812743984722,0.031305724035882,0.397934405875162,8.81982785654798,1.74186290586142,11.4731241836702,11.4454875,0.0121348910025399,""
"7","YBR4.2..8",1.0598440537956,0.028046621497881,0.402035733949262,8.96733587788582,1.72409346241701,11.1301966690136,11.1118875,0.0114618268508756,""
"8","YBR4.3..9",1.08044062761721,0.0263640688214265,0.407495465220794,9.05143400129515,1.70099360537516,11.2608205532803,11.2444125,0.0109413653988984,""
"9","YBR4.3..10",1.05500807999472,0.0240873479620126,0.414561474781349,9.06143262993638,1.67200095215198,10.9873724264206,10.952975,0.0113867500658457,""
"10","YBR4.3..11",1.06317305278481,0.0255704596492343,0.412866276876581,8.9695636924532,1.67886606240584,11.1660856773508,11.13725,0.010325877932208,""
"11","MEDIA..12",0.00366068683427466,0.00150492786465637,0.31017868749734,1.1586801399476,2.23467055764716,0.060932501791677,0.0612125,0.00160211638179828,""
"12","MEDIA..13",0.0880596447874152,0.00561979933124806,2.17839532981712,1.23291346045051,0.318191639080559,1.60592736586898,1.6046625,0.00183353390571674,""
"13","BLANK..14",0.001,0.000131011039685197,2.40598519740335,0.786392547749113,0.28809286994285,0.0186552425848096,0.0182,0.000319914377341273,""
"14","YBR6.1..15",1.02359319643839,0.0251653624176462,0.411280580141275,8.94939735012345,1.68533894870954,10.7698319073669,10.7383375,0.0104636540818617,""
"15","YBR6.1..16",1.05420468533054,0.0258696899491413,0.40749825094004,9.03715351970391,1.7009819771274,11.0018555815105,10.9787625,0.0101846964198617,""
"16","YBR6.1..17",1.0554167731628,0.0292570739381059,0.409552359053388,8.68620873196847,1.69245070926228,11.3711693381877,11.34455,0.0112487379492718,""
"17","YBR6.2..18",1.05434174841521,0.0250862007176879,0.410387411210073,9.05065074235221,1.68900692766409,10.9903486002713,10.9591875,0.0102702641446443,""
"18","YBR6.2..19",1.07459337638461,0.0290237354217156,0.402569588368475,8.90331329628983,1.72180711257678,11.351256270816,11.324325,0.0108161545366752,""
"19","YBR6.2..20",1.0664688806815,0.0278362625224696,0.408441175452593,8.86130237681971,1.69705510173373,11.3104245923034,11.2829,0.0112678892409076,""
"20","YBR6.3..21",1.07455066746442,0.0263608267431371,0.406332907385026,9.06385098173147,1.70586031296536,11.1862953794451,11.154275,0.011595196828912,""
"21","YBR6.3..22",1.05383675377489,0.0238402631368035,0.418809164176233,8.9920066618501,1.65504301206807,11.0468111524814,11.0126625,0.0117849640806232,""
"22","YBR6.3..23",1.069399524318,0.0245384808612803,0.415995739721791,9.01787276120693,1.6662362480527,11.1825316472173,11.1542375,0.0109051272011161,""
"23","MEDIA..24",0.0013,0.000135319492051313,6.62763712606572,0.324785961439927,0.104584359006904,0.0249062181210854,0.0210625,0.000611236067499715,""
"24","MEDIA..25",0.0262601570884293,0.00259945349508358,1.3394709115323,1.64879606420107,0.517478337597501,0.466731861433806,0.46645,0.000538565117042307,""
"25","BLANK..26",0.002,0.0039,0.127991001190805,-5.61854083703245,5.41559308163098,0.0487951159642922,0.04035,0.00108321986724443,"questionable fit (k < n0)"
"26","REF4.1..27",1.01138055278939,0.0322433187981508,0.393815444281789,8.66741263518821,1.76008125284181,10.9084597258285,10.859375,0.0146407167867958,""
"27","REF4.1..28",1.02589964379479,0.0250324505985273,0.404909502840915,9.109317176802,1.71185703397106,10.6346484811458,10.576425,0.0140157795823791,""
"28","REF4.1..29",1.07717005445287,0.0265064418422411,0.400376364664808,9.19082590394532,1.73123900842709,11.0807311286394,11.0407625,0.0116562177095457,""
"29","REF4.2..30",1.02416371108768,0.0325603642699399,0.451962384430478,7.55865435772015,1.53363909130045,12.1669225258123,12.1288875,0.0124539887244446,""
"30","REF4.2..31",1.05362042755509,0.0237185245021013,0.405188878070846,9.30667812871567,1.71067671911456,10.7221650586918,10.6933125,0.00947655345874381,""
"31","REF4.2..32",1.03209980654044,0.0218098197547017,0.423421434931856,9.05866366693225,1.63701485889938,10.7535678293972,10.70885,0.0122301393265176,""
"32","REF4.3..33",1.06218713183685,0.027187227634334,0.408021172611853,8.91965801454232,1.69880199138423,11.2053010622501,11.175325,0.0111484044024188,""
"33","REF4.3..34",1.07473435134022,0.0229142791324197,0.414937541522449,9.22191101694066,1.67048558203896,11.0265456339748,10.995675,0.0110101364402251,""
"34","REF4.3..35",1.07202452579244,0.0223771802457802,0.410274102181449,9.37950459053212,1.68947339565048,10.8350820546492,10.7987,0.0109540010476362,""
"35","MEDIA..36",0.0018,0.003,2.13268487469298,-0.429641876653747,0.325011533014098,0.0355311404043092,0.0328125,0.00090059974319274,"questionable fit (k < n0)"
"36","MEDIA..37",0.00532413240926234,4.01550933981675e-05,18.2622638519824,0.267200447908261,0.037955161867005,0.102395764280423,0.102375,0.00464155800732343,""
"37","BLANK..38",0.0136322163449483,0.000617564756117541,0.440550499500549,6.91872355006923,1.5733660076331,0.170197073255677,0.169725,0.000321243697704875,""
"38","REF3.1..39",1.04865892130385,0.0276849909845133,0.415710717358433,8.67820267578233,1.66737866409708,11.3087863837665,11.2800375,0.010474775913959,""
"39","REF3.1..40",1.08414133024691,0.0243714620537842,0.427468741328551,8.82495919232596,1.62151547831469,11.5418997150966,11.5006875,0.0121899377831774,""
"40","REF3.1..41",1.09097930377143,0.0291707530013218,0.438370380608475,8.19982935533308,1.58119072643053,12.2783053685401,12.240125,0.0131825207857924,""
"41","REF3.2..42",1.09897635710321,0.0251041204439155,0.427848638024526,8.77879226466119,1.62007569723807,11.7490214357502,11.706025,0.0115956636952607,""
"42","REF3.2..43",1.09468839950273,0.0273868479592214,0.424717398654986,8.62414853396447,1.63201974478803,11.8656574539427,11.8283125,0.013662475463305,""
"43","REF3.2..44",1.06444634193076,0.0234668592435149,0.432772896752358,8.76285970490116,1.60164184439808,11.3977605795283,11.3494,0.0132806835454586,""
"44","REF3.3..45",1.05192851813088,0.0273621241269932,0.408998939231556,8.85788372134981,1.69474077820901,11.1598577280761,11.1272875,0.0119517051794914,""
"45","REF3.3..46",1.05257028516793,0.0245052394493545,0.42911084556145,8.70764933337247,1.61531032769174,11.3257105344978,11.2950125,0.011440673096195,""
"46","REF3.3..47",1.07035375498222,0.02606125325012,0.416386945301353,8.86349892433362,1.66467077890324,11.3519346494367,11.3271,0.0114646863978813,""
"47","MEDIA..48",0.00252399954539576,0.000446605123405302,0.248375318633165,6.18900019049739,2.79072487707074,0.0319839546959409,0.0317875,0.000229419712994548,""
"48","MEDIA..49",0.00210079813105899,0.000388598175433539,1.65100686308088,0.898232792274556,0.419833009819528,0.0388182962340246,0.03875,0.000217439610797898,""
"49","BLANK..50",0.000916415802493149,4.0065230286863e-05,3.70714097505211,0.832247099632726,0.186976212996648,0.0170963728599375,0.0171125,0.000229315780053796,""
"50","YBR4.1..51",1.03613985709437,0.0185655073004886,0.505209930051526,7.92516404496365,1.37199833045493,11.961978911068,11.96215,0.020220289784487,""
"51","YBR4.1..52",1.04268817474744,0.0192469346162973,0.492471026925092,8.0686456017622,1.40748824329391,11.8874777576557,11.8942625,0.0201539979771696,""
"52","YBR4.1..53",1.08651286003906,0.0192572815729547,0.472963774916213,8.48893025802846,1.4655396825745,11.9351272169587,11.942675,0.0211720445218304,""
"53","YBR4.2..54",1.06928583949549,0.0435368520545005,0.517311509864377,6.10767502910916,1.33990287736236,14.236326901151,14.2255375,0.0183656294164527,""
"54","YBR4.2..55",1.14757122588598,0.0236070751982794,0.472155317890837,8.18177943892895,1.46804908108692,12.949526928047,12.9467625,0.0226257951807049,""
"55","YBR4.2..56",1.17450582300106,0.025397505924498,0.476517253751441,7.99990039579202,1.4546108773671,13.4633061791846,13.45625,0.0231114616787886,""
